sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
9002000001203943_4yearsFollowUpMGS,EGAN00002854538,SAMEA7985299,EGAR00002588904,EGAX00002367987,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001206364_4yearsFollowUpMGS,EGAN00002854419,SAMEA7985130,EGAR00002588799,EGAX00002367882,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001206711LL_4yearsFollowUpMGS,EGAN00002854570,SAMEA7985331,EGAR00002588957,EGAX00002368040,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001208627_4yearsFollowUpMGS,EGAN00002854358,SAMEA7985033,EGAR00002588835,EGAX00002367918,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001211023_4yearsFollowUpMGS,EGAN00002854524,SAMEA7985235,EGAR00002588890,EGAX00002367973,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001212011_4yearsFollowUpMGS,EGAN00002854562,SAMEA7985323,EGAR00002588949,EGAX00002368032,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001214562_4yearsFollowUpMGS,EGAN00002854569,SAMEA7985330,EGAR00002588956,EGAX00002368039,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001214606_4yearsFollowUpMGS,EGAN00002854553,SAMEA7985314,EGAR00002588935,EGAX00002368018,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001214947_4yearsFollowUpMGS,EGAN00002854552,SAMEA7985313,EGAR00002588934,EGAX00002368017,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001215917_4yearsFollowUpMGS,EGAN00002854528,SAMEA7985239,EGAR00002588894,EGAX00002367977,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001222690_4yearsFollowUpMGS,EGAN00002854433,SAMEA7985144,EGAR00002588920,EGAX00002368003,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001225234_4yearsFollowUpMGS,EGAN00002854398,SAMEA7985109,EGAR00002588819,EGAX00002367902,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001225833_4yearsFollowUpMGS,EGAN00002854529,SAMEA7985240,EGAR00002588895,EGAX00002367978,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001226278LL_4yearsFollowUpMGS,EGAN00002854572,SAMEA7985333,EGAR00002588959,EGAX00002368042,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001226394_4yearsFollowUpMGS,EGAN00002854543,SAMEA7985304,EGAR00002588913,EGAX00002367996,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001226607_4yearsFollowUpMGS,EGAN00002854409,SAMEA7985120,EGAR00002588809,EGAX00002367892,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001227800_4yearsFollowUpMGS,EGAN00002854434,SAMEA7985145,EGAR00002588918,EGAX00002368001,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001227810_4yearsFollowUpMGS,EGAN00002854431,SAMEA7985142,EGAR00002588917,EGAX00002368000,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001227892_4yearsFollowUpMGS,EGAN00002854396,SAMEA7985107,EGAR00002588821,EGAX00002367904,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001228076LL_4yearsFollowUpMGS,EGAN00002854335,SAMEA7985010,EGAR00002588858,EGAX00002367941,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001228512_4yearsFollowUpMGS,EGAN00002854425,SAMEA7985136,EGAR00002588881,EGAX00002367964,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001229707_4yearsFollowUpMGS,EGAN00002854397,SAMEA7985108,EGAR00002588820,EGAX00002367903,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001230056_4yearsFollowUpMGS,EGAN00002854438,SAMEA7985149,EGAR00002588931,EGAX00002368014,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001231803_4yearsFollowUpMGS,EGAN00002854446,SAMEA7985157,EGAR00002588941,EGAX00002368024,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001232168_4yearsFollowUpMGS,EGAN00002854571,SAMEA7985332,EGAR00002588958,EGAX00002368041,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001232275_4yearsFollowUpMGS,EGAN00002854518,SAMEA7985229,EGAR00002588884,EGAX00002367967,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001232570LL_4yearsFollowUpMGS,EGAN00002854458,SAMEA7985169,EGAR00002589124,EGAX00002368207,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001233352_4yearsFollowUpMGS,EGAN00002854364,SAMEA7985039,EGAR00002588829,EGAX00002367912,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001233610_4yearsFollowUpMGS,EGAN00002854354,SAMEA7985029,EGAR00002588841,EGAX00002367924,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
